run_date,ticker,basket,sector_label,region,name,currency,price,market_cap,shares_out,beta,trailing_eps,forward_eps,book_value_ps,price_to_book,trailing_pe,forward_pe,roe,roa,profit_margin,operating_margin,revenue_growth,earnings_growth,dividend_yield,payout_ratio,debt_to_equity,total_equity,net_income,revenue,last_fiscal_year_end,most_recent_quarter
2026-07-25,DNB.OL,banking_nordic,banking,nordic,DNB BANK ASA,NOK,298.7,427611455488,1431574963,0.337,27.58,27.77519,176.229,1.6949538,10.830313,10.754202,0.1507,0.01086,0.47826,0.59521,0.008,-0.043,6.1,0.6529,,295150000000.0,43547000000.0,89445000000.0,1767139200,1782777600
2026-07-25,SPOG.OL,banking_nordic,banking,nordic,SPAREBANKEN ØST,NOK,71.2,1476060288,20731183,0.269,6.67,5.52667,226.282,0.3146516,10.674662,12.882983,0.08590999,0.00881,0.45728,0.63548,-0.313,-0.475,9.68,1.0344,,5042300000.0,494300000.0,950100000.0,1767139200,1782777600
2026-07-25,MING.OL,banking_nordic,banking,nordic,SPAREBANK 1 SMN,NOK,193.72,27937191936,144214283,0.382,18.48,19.3875,187.878,1.0310947,10.482684,9.992004,0.14457,0.01685,0.47155997,0.53499,-0.077,-0.154,6.98,0.731,,31166000000.0,4279000000.0,8051000000.0,1767139200,1774915200
2026-07-25,NONG.OL,banking_nordic,banking,nordic,SPAREBANK 1 NORD-NORGE,NOK,156.96,15758473216,100398016,0.351,14.87,14.885,178.593,0.87886983,10.555481,10.544844,0.16871001,0.023559999,0.52666,0.64078003,-0.039,-0.118,5.48,1.1601,,20521000000.0,3421000000.0,5911000000.0,1767139200,1774915200
2026-07-25,SEB-A.ST,banking_nordic,banking,nordic,Skandinaviska Enskilda Banken s,SEK,218.6,426019651584,1924702312,0.417,15.69,15.79,115.806,1.8876398,13.932442,13.844206,0.14083,0.00736,0.41787,0.54662997,0.023,0.076,3.94,0.5421,,230263000000.0,31063000000.0,77063000000.0,1767139200,1782777600
2026-07-25,SWED-A.ST,banking_nordic,banking,nordic,Swedbank AB ser A,SEK,371.0,416898154496,1123714665,0.56,27.59,25.44,184.25,2.0135686,13.446901,14.583333,0.15016,0.0097,0.45124,0.51436,0.058,-0.089,5.58,0.7409,,225802000000.0,32762000000.0,67899000000.0,1767139200,1782777600
2026-07-25,SHB-A.ST,banking_nordic,banking,nordic,Svenska Handelsbanken ser. A,SEK,143.45,287583698944,1944777165,0.503,11.98,11.41,93.126,1.5403861,11.974124,12.572305,0.12749,0.0063099996,0.41731,0.50089,-0.038,-0.061,5.66,0.66830003,,199352000000.0,23727000000.0,56805000000.0,1767139200,1782777600
2026-07-25,NDA-SE.ST,banking_nordic,banking,nordic,Nordea Bank Abp,SEK,190.7,647188774912,3393753656,0.637,15.16,1.37,9.182,20.768894,12.579156,139.19708,0.15337,0.00699,0.4058,0.54153997,0.015,0.029,7.54,0.7007,,32419000000.0,4840000000.0,11719000000.0,1767139200,1782777600
2026-07-25,DANSKE.CO,banking_nordic,banking,nordic,Danske Bank A/S,DKK,356.5,287760252928,807181655,0.586,28.99,32.26704,206.818,1.7237378,12.297344,11.048426,0.13951999,0.0062300004,0.41053,0.56159,0.08,0.152,4.73,0.5841,,181162000000.0,23037000000.0,56845000000.0,1767139200,1782777600
2026-07-25,JYSK.CO,banking_nordic,banking,nordic,Jyske Bank A/S,DKK,1003.0,56838672384,56668668,0.342,83.06,92.56549,800.763,1.2525554,12.075608,10.835571,0.10288999,0.00678,0.36754,0.45686,-0.081,-0.126,2.48,0.301,,52312000000.0,5414000000.0,14437000000.0,1767139200,1774915200
2026-07-25,HSBA.L,banking_europe,banking,europe,HSBC HOLDINGS PLC ORD $0.50 (UK,GBp,1552.8,266277404672,17148209505,0.565,0.9,1.412482,7.5912247,2.0455198,17.253334,10.993414,0.11611,0.00722,0.34977,0.50684,0.033,0.026,3.64,0.6082,,198225000000.0,22285000000.0,71020000000.0,1767139200,1774915200
2026-07-25,BARC.L,banking_europe,banking,europe,BARCLAYS PLC ORD 25P,GBp,525.4,70859186176,13486711665,0.884,0.43,0.63954,4.659,1.1277099,12.218605,8.215281,0.09552,0.0044299997,0.26768,0.39755002,0.039,0.081,1.66,0.1982,,77784000000.0,7172000000.0,29140000000.0,1767139200,1774915200
2026-07-25,LLOY.L,banking_europe,banking,europe,LLOYDS BANKING GROUP PLC ORD 10,GBp,113.5,65891950592,58054582442,0.907,0.08,0.1202,0.824,1.3774272,14.1875,9.4425955,0.10784,0.00551,0.26495,0.41411,0.115,0.447,3.25,0.4382,,47668000000.0,4659000000.0,20028000000.0,1767139200,1774915200
2026-07-25,NWG.L,banking_europe,banking,europe,NATWEST GROUP PLC ORD 107.69P,GBp,676.0,53764878336,7953384531,0.814,0.7,0.84144,4.903,1.3787477,9.657144,8.033847,0.14072,0.00822,0.36877,0.50258,0.075,0.156,4.85,0.4656,,42599000000.0,5831000000.0,16609000000.0,1767139200,1774915200
2026-07-25,BNP.PA,banking_europe,banking,europe,BNP PARIBAS ACT.A,EUR,105.92,116088315904,1096000000,1.039,10.6,12.97613,104.444,1.0141319,9.992453,8.162681,0.09575,0.00456,0.2545,0.35636002,0.093,0.12,9.32,0.6961,,125513000000.0,12225000000.0,68804000000.0,,
2026-07-25,ACA.PA,banking_europe,banking,europe,CREDIT AGRICOLE,EUR,18.505,55986597888,3025485086,0.806,2.13,2.4453,26.152,0.70759404,8.687793,7.567578,0.09276,0.00343,0.26825002,0.38424,-0.011,-0.084,6.27,0.5159,,77662000000.0,7074000000.0,26261000000.0,1767139200,1774915200
2026-07-25,GLE.PA,banking_europe,banking,europe,SOCIETE GENERALE,EUR,77.17,56838901760,736541457,0.981,7.04,8.91069,97.252,0.79350555,10.961648,8.660384,0.08884,0.00448,0.23615,0.36972,0.002,0.141,2.13,0.24139999,,70144000000.0,6002000000.0,52597000000.0,1767139200,1774915200
2026-07-25,ISP.MI,banking_europe,banking,europe,INTESA SANPAOLO,EUR,6.438,113042874368,17558693367,0.837,0.54,0.63897,3.946,1.6315256,11.922222,10.07559,0.14007,0.00997,0.36828,0.67370003,0.06,0.067,6.05,0.661,,65226000000.0,9321000000.0,28529000000.0,1767139200,1774915200
2026-07-25,UCG.MI,banking_europe,banking,europe,UNICREDIT,EUR,80.43,120506449920,1498277375,1.061,7.15,8.3112,45.715,1.7593788,11.248951,9.677302,0.16984,0.01345,0.44619998,0.62253,0.064,0.201,3.78,0.3994,,67711000000.0,10915000000.0,25039000000.0,1767139200,1774915200
2026-07-25,SAN.MC,banking_europe,banking,europe,BANCO SANTANDER S.A.,EUR,11.98,171243126784,14294084458,0.934,0.88,1.23453,7.291,1.6431216,13.613636,9.704098,0.13109,0.00782,0.33464,0.43438998,,,2.15,0.2545,,103170000000.0,14101000000.0,60023000000.0,1767139200,1782777600
2026-07-25,BBVA.MC,banking_europe,banking,europe,BANCO BILBAO VIZCAYA ARGENTARIA,EUR,22.86,126429192192,5530585595,0.883,1.82,2.23742,9.601,2.3810022,12.560439,10.217125,0.19042999,0.013710001,0.33124,0.54861,0.119,0.133,4.13,0.4011,,57355000000.0,10511000000.0,39415000000.0,1767139200,1774915200
2026-07-25,CABK.MC,banking_europe,banking,europe,"CAIXABANK, S.A.",EUR,13.3,92513574912,6955907590,0.114,0.81,1.06531,5.306,2.5065963,16.419754,12.484629,0.1602,0.009190001,0.38772,0.56735003,0.027,0.086,3.87,0.96769994,,38510000000.0,5891000000.0,16762000000.0,1767139200,1774915200
2026-07-25,INGA.AS,banking_europe,banking,europe,ING GROEP N.V.,EUR,28.95,82723012608,2857444153,0.899,2.19,2.85579,17.685,1.6369805,13.219178,10.1373005,0.16565001,0.00784,0.34228,0.41676,0.029,0.137,3.81,0.48400003,,49698000000.0,6327000000.0,22903000000.0,1767139200,1774915200
2026-07-25,KBC.BR,banking_europe,banking,europe,KBC,EUR,122.4,48553869312,396681919,0.661,8.7,11.07233,64.719,1.8912529,14.068966,11.054584,0.13389,0.00921,0.29554,0.25792,0.064,0.002,4.22,0.47689998,,27905000000.0,3568000000.0,12690000000.0,1767139200,1774915200
2026-07-25,CBK.DE,banking_europe,banking,europe,Commerzbank AG                I,EUR,36.78,40330133504,1096523505,0.675,2.17,3.76077,31.362,1.1727568,16.949308,9.779912,0.08234,0.00503,0.23316,0.44147998,0.043,0.151,3.03,0.29950002,,33829000000.0,2625000000.0,12934000000.0,1767139200,1774915200
2026-07-25,UBSG.SW,banking_europe,banking,europe,UBS GROUP N,CHF,42.31,138683940864,3277805164,0.827,2.27,3.41385,24.284313,1.742277,18.638767,12.393632,0.1016,0.00567,0.17764,0.31471002,0.138,0.844,2.04,0.32259998,,90213000000.0,7767000000.0,47295000000.0,1767139200,1774915200
2026-07-25,JPM,banking_us,banking,us,JP Morgan Chase & Co.,USD,353.21,938902814720,2658200000,0.982,23.34,24.73692,133.007,2.6555743,15.133247,14.278657,0.17789,0.0136,0.34921002,0.50394,0.304,0.469,1.71,0.2571,,342393000000.0,57048000000.0,181847000000.0,1767139200,1782777600
2026-07-25,BAC,banking_us,banking,us,Bank of America Corporation,USD,62.05,440343461888,7096590651,1.175,4.33,5.2595,39.342,1.5771949,14.330255,11.797699,0.111990005,0.00969,0.29524,0.38305,0.214,0.36,1.83,0.2587,,277251000000.0,30509000000.0,113097000000.0,1767139200,1782777600
2026-07-25,WFC,banking_us,banking,us,Wells Fargo & Company,USD,86.31,264124940288,3060189494,0.917,6.89,7.87263,53.194,1.6225513,12.526851,10.963299,0.12575,0.0107700005,0.27232,0.37069,0.095,0.25,2.09,0.2616,,164509000000.0,21338000000.0,83699000000.0,1767139200,1782777600
2026-07-25,C,banking_us,banking,us,"Citigroup, Inc.",USD,132.19,221735518208,1677400000,1.094,9.28,12.80655,114.74,1.152083,14.244613,10.322062,0.08529,0.0066299997,0.21832001,0.36229,0.145,0.61,2.03,0.2586,,192241000000.0,14306000000.0,85213000000.0,1767139200,1782777600
2026-07-25,USB,banking_us,banking,us,U.S. Bancorp,USD,63.97,99648102400,1557731728,0.979,5.01,5.78312,38.911,1.6440082,12.768463,11.061503,0.12623,0.0116,0.29896,0.39646998,0.104,0.216,3.28,0.4152,,58385000000.0,7570000000.0,28540000000.0,1767139200,1782777600
2026-07-25,PNC,banking_us,banking,us,"PNC Financial Services Group, I",USD,250.99,100145012736,399000000,0.897,18.3,21.37292,143.638,1.7473788,13.7153015,11.743365,0.12623,0.01307,0.31366,0.38689,0.236,0.251,3.21,0.3744,,60585000000.0,6936000000.0,23077000000.0,1767139200,1782777600
2026-07-25,TFC,banking_us,banking,us,Truist Financial Corporation,USD,51.76,63231356928,1221626000,0.875,4.35,5.00453,47.595,1.0875092,11.89885,10.342629,0.09059,0.010620001,0.30692,0.39815,0.082,0.367,4.06,0.4782,,60273000000.0,5307000000.0,20319000000.0,1767139200,1782777600
2026-07-25,FITB,banking_us,banking,us,Fifth Third Bancorp,USD,57.41,52046356480,906573000,0.922,2.99,4.93524,30.179,1.9023161,19.200668,11.632667,0.08447,0.0092,0.23290001,0.32941002,0.518,-0.057,2.8,0.5387,,19954000000.0,2522000000.0,8821000000.0,1767139200,1782777600
2026-07-25,KEY,banking_us,banking,us,KeyCorp,USD,22.65,24281591808,1072035000,,1.71,2.14352,16.136,1.4036936,13.245613,10.5667305,0.1033,0.0107700005,0.2754,0.3471,0.101,0.253,3.61,0.4795,,17881000000.0,1829000000.0,7285000000.0,1767139200,1782777600
2026-07-25,RF,banking_us,banking,us,Regions Financial Corporation,USD,30.86,26335293440,853379538,1.012,2.46,2.84546,20.385,1.5138582,12.544716,10.845347,0.118669994,0.01393,0.30837,0.39314997,0.034,0.085,3.57,0.4309,,17674000000.0,2156000000.0,7526000000.0,1767139200,1782777600
2026-07-25,CFG,banking_us,banking,us,"Citizens Financial Group, Inc.",USD,71.88,30382069760,422677660,0.998,4.59,6.50681,56.951,1.2621375,15.66013,11.046887,0.08270001,0.0094,0.26051,0.35132998,0.147,0.413,2.56,0.39220002,,24206000000.0,1831000000.0,8247000000.0,1767139200,1782777600
2026-07-25,MTB,banking_us,banking,us,M&T Bank Corporation,USD,249.6,36175273984,144933000,0.569,18.89,21.03996,176.026,1.4179723,13.213341,11.86314,0.10742,0.01408,0.32092,0.45108002,0.062,0.255,2.44,0.3176,,26343000000.0,2851000000.0,9632000000.0,1767139200,1782777600
2026-07-25,HBAN,banking_us,banking,us,Huntington Bancshares Incorpora,USD,17.36,35074404352,2020414826,0.952,1.3,1.88564,14.721,1.1792678,13.3538475,9.206424,0.09002,0.00982,0.26145,0.41884997,0.471,-0.029,3.56,0.47689998,,21611000000.0,2211000000.0,8131000000.0,1767139200,1782777600
2026-07-25,ZION,banking_us,banking,us,Zions Bancorporation N.A.,USD,69.29,10112113664,145939000,0.791,7.86,6.79756,49.158,1.4095366,8.815521,10.193363,0.16404,0.01316,0.3176,0.52116,0.352,0.871,2.6,0.2293,,7114000000.0,899000000.0,3385000000.0,1767139200,1782777600
2026-07-25,PROT.OL,insurance_nordic,insurance,nordic,PROTECTOR FORSIKRING,NOK,478.6,39395876864,82314827,0.375,24.78,28.59,81.309,5.8861876,19.313963,16.74012,0.30561,0.06506,0.14452,0.27759,0.048,0.034,4.17,0.7661,31.587,7675000000.0,2646000000.0,14248000000.0,1767139200,1782777600
2026-07-25,GJF.OL,insurance_nordic,insurance,nordic,GJENSIDIGE FORSIKRING,NOK,279.0,139489984512,499964129,0.194,12.78,17.21566,42.885,6.5057716,21.830986,16.206175,0.27247,0.03042,0.14229,0.2442,0.06,-0.077,3.61,0.7825,22.964,28307200000.0,6556100000.0,44936300000.0,1767139200,1782777600
2026-07-25,STB.OL,insurance_nordic,insurance,nordic,STOREBRAND,NOK,200.6,83933544448,418412469,0.523,11.41,13.48308,78.891,2.542749,17.58107,14.877907,0.15183,0.05585,0.045050003,0.93491995,1.279,0.211,2.72,0.4729,196.577,33210000000.0,5046000000.0,78316000000.0,1767139200,1782777600
2026-07-25,TRYG.CO,insurance_nordic,insurance,nordic,Tryg A/S,DKK,155.4,92602523648,595897849,0.096,7.45,10.25005,60.052,2.5877573,20.85906,15.160902,0.121479996,0.03776,0.10493,0.09972,0.053,-0.432,5.42,1.1149,19.387,39619000000.0,5405000000.0,41369000000.0,1767139200,1782777600
2026-07-25,SAMPO.HE,insurance_nordic,insurance,nordic,Sampo Plc A,EUR,9.626,25398886400,2637570955,0.24,0.61,0.60876,3.09,3.1152105,15.780328,15.812472,0.21256,0.05185,0.15619999,0.024619998,-0.078,,3.76,0.5574,29.555,8092000000.0,1998000000.0,10322000000.0,1767139200,1774915200
2026-07-25,ALV.DE,insurance_europe,insurance,europe,Allianz SE                    v,EUR,427.1,161993162752,379286270,0.66,30.98,32.75997,173.747,2.458172,13.786314,13.037252,0.18706,0.0115,0.10426,0.19285999,0.088,0.524,4.03,0.49740002,,62722000000.0,10775000000.0,137450000000.0,1767139200,1774915200
2026-07-25,MUV2.DE,insurance_europe,insurance,europe,MUENCHENER RUECKVERS.-GES. AG N,EUR,509.0,65132601344,127961889,0.326,52.24,51.98957,270.391,1.8824592,9.743491,9.790425,0.19848,0.02269,0.10974,0.15464,-0.06,0.608,4.74,0.383,21.718,33247000000.0,6118000000.0,62312000000.0,1767139200,1774915200
2026-07-25,HNR1.DE,insurance_europe,insurance,europe,HANNOVER RUECK SE NA O.N.,EUR,253.2,30535194624,120597134,0.127,23.82,23.40748,114.939,2.2029076,10.629723,10.817055,0.21711001,0.04142,0.11817,0.099139996,-0.228,0.48,5.01,0.294,27.857,12928700000.0,2641500000.0,24017800000.0,1767139200,1774915200
2026-07-25,CS.PA,insurance_europe,insurance,europe,AXA,EUR,44.83,91201544192,2034386434,0.592,3.42,4.46866,22.95,1.9533769,13.108188,10.032091,0.13415,0.0101,0.10346,0.10537,0.032,0.598,5.18,0.6287,113.518,47171000000.0,9797000000.0,105925000000.0,1767139200,1767139200
2026-07-25,G.MI,insurance_europe,insurance,europe,GENERALI,EUR,42.9,64177459200,1495978000,0.657,2.69,3.44671,21.324,2.0118177,15.947956,12.446652,0.13688,0.00849,0.07218,0.11055,,,3.85,0.5319,113.746,32064000000.0,4172000000.0,74133000000.0,1767139200,1767139200
2026-07-25,ZURN.SW,insurance_europe,insurance,europe,ZURICH INSURANCE N,CHF,623.0,93057048576,149369269,0.323,38.38,43.23632,160.91547,3.871598,16.232412,14.409182,0.25221002,0.01716,0.09302,0.14896,0.095,0.338,4.85,0.72029996,58.818,28515000000.0,6798000000.0,88670000000.0,1767139200,1767139200
2026-07-25,SREN.SW,insurance_europe,insurance,europe,SWISS RE N,CHF,134.5,39666683904,294919585,0.343,12.83,13.048782,71.89739,1.8707216,10.483242,10.307475,0.19461,0.03198,0.11745,0.20143999,-0.02,0.186,4.72,0.4727,30.526,25558000000.0,4740000000.0,46491000000.0,1767139200,1774915200
2026-07-25,ADM.L,insurance_europe,insurance,europe,ADMIRAL GROUP PLC ORD 0.1P,GBp,3588.0,10724604928,298902015,0.191,2.43,2.59293,4.73,7.5856237,14.765432,13.837627,0.52965,0.076630004,0.14792,0.2082,-0.041,-0.205,4.46,0.73050004,131.165,1443300000.0,742600000.0,5058800000.0,1767139200,1767139200
2026-07-25,LGEN.L,insurance_europe,insurance,europe,LEGAL & GENERAL GROUP PLC ORD 2,GBp,299.6,16367087616,5462979494,0.794,0.08,0.25664,0.318,9.421384,37.45,11.673941,0.17860001,0.00113,0.053850003,0.07367,0.139,,7.36,2.6323998,2477.336,2283000000.0,592000000.0,42039000000.0,1767139200,1767139200
2026-07-25,AV.L,insurance_europe,insurance,europe,AVIVA PLC ORD 32 17/19P,GBp,691.0,20668133376,2991046666,0.62,0.27,0.67143,3.507,1.970345,25.59259,10.291468,0.10695,0.0053600003,0.03222,0.11532,0.371,9.795,5.75,1.3925,112.12,10686000000.0,1033000000.0,57436000000.0,1767139200,1767139200
2026-07-25,PGR,insurance_us,insurance,us,Progressive Corporation (The),USD,213.83,124320759808,581400000,0.246,20.57,16.25654,59.052,3.621046,10.395236,13.153476,0.34943,0.07839,0.12849,0.18208,0.073,0.05,6.71,0.6974,24.428,30323000000.0,11308000000.0,87637000000.0,1767139200,1782777600
2026-07-25,ALL,insurance_us,insurance,us,Allstate Corporation (The),USD,259.97,66921717760,257420930,0.166,46.17,26.50734,114.752,2.2654943,5.630713,9.807472,0.45221,0.07521,0.17813,0.18954,0.03,3.384,1.7,0.090299994,23.719,28609000000.0,10282000000.0,67069000000.0,1767139200,1774915200
2026-07-25,TRV,insurance_us,insurance,us,"The Travelers Companies, Inc.",USD,387.26,80772767744,208575022,0.473,37.22,30.05524,158.778,2.439003,10.404621,12.884941,0.26511,0.04775,0.16951999,0.23698,0.003,0.571,1.33,0.1223,27.378,32894000000.0,6288000000.0,48828000000.0,1767139200,1782777600
2026-07-25,CB,insurance_us,insurance,us,Chubb Limited,USD,359.75,139532664832,387860106,0.406,28.74,29.11021,192.619,1.8676766,12.517398,12.358207,0.14822,0.03387,0.18033001,0.23388,0.06,-0.008,1.15,0.1393,,73757000000.0,10310000000.0,59783000000.0,1767139200,1782777600
2026-07-25,AIG,insurance_us,insurance,us,"American International Group, I",USD,79.06,41918103552,530206221,0.541,5.75,8.83737,75.82,1.0427327,13.749565,8.9461,0.07723,0.01885,0.118389994,0.18620001,0.014,0.216,2.56,0.3169,22.647,41139000000.0,3096000000.0,26774000000.0,1767139200,1774915200
2026-07-25,HIG,insurance_us,insurance,us,"The Hartford Insurance Group, I",USD,140.53,38523604992,274130820,,14.31,13.80126,67.497,2.0820184,9.820405,10.182404,0.22061001,0.038540002,0.14887999,0.17637,0.04,0.36,1.69,0.1602,22.279,18645000000.0,3836000000.0,28071000000.0,1767139200,1782777600
2026-07-25,CINF,insurance_us,insurance,us,Cincinnati Financial Corporatio,USD,182.81,28278282240,154686742,0.553,17.82,9.21702,101.643,1.7985499,10.258698,19.83396,0.18735,0.05553,0.21326,0.11841,0.116,,2.1,0.203,5.626,15911000000.0,2393000000.0,12631000000.0,1767139200,1774915200
2026-07-25,WRB,insurance_us,insurance,us,W.R. Berkley Corporation,USD,75.46,28000034816,371058000,0.293,4.85,4.81443,24.968,3.0222685,15.558763,15.673714,0.18342813977130587,,0.12943,0.16385001,0.012,0.15,0.54,0.0763,31.76,9700818000.0,1779403000.0,14639850000.0,1767139200,1782777600
2026-07-25,MET,insurance_us,insurance,us,"MetLife, Inc.",USD,94.83,61017112576,643436779,0.778,5.3,10.98767,42.296,2.242056,17.892452,8.630584,0.13014,0.00453,0.04665,0.09919,0.027,0.359,2.56,0.4391,178.019,28398000000.0,3379000000.0,75654000000.0,1767139200,1774915200
2026-07-25,PRU,insurance_us,insurance,us,"Prudential Financial, Inc.",USD,119.96,41665122304,347325107,0.84,9.88,14.55647,92.061,1.3030491,12.1417,8.241009,0.10711,0.00409,0.054759998,0.04721,0.153,-0.143,4.75,0.56130004,158.972,32438000000.0,3576000000.0,60967000000.0,1767139200,1774915200
2026-07-25,AFL,insurance_us,insurance,us,AFLAC Incorporated,USD,125.6,63928500224,508984904,0.603,8.84,7.54642,58.686,2.1402037,14.208144,16.643654,0.16469,0.03088,0.25596002,0.29567,0.279,38.6,1.96,0.26860002,48.276,29490000000.0,3646000000.0,17355000000.0,1767139200,1774915200
