run_date,ticker,basket,sector_label,region,name,currency,price,market_cap,shares_out,beta,trailing_eps,forward_eps,book_value_ps,price_to_book,trailing_pe,forward_pe,roe,roa,profit_margin,operating_margin,revenue_growth,earnings_growth,dividend_yield,payout_ratio,debt_to_equity,total_equity,net_income,revenue,last_fiscal_year_end,most_recent_quarter
2026-09-19,DNB.OL,banking_nordic,banking,nordic,DNB BANK ASA,NOK,315.0,448724959232,1424523622,0.342,27.56,27.92833,176.229,1.787447,11.429608,11.27887,0.1507,0.01086,0.47826,0.59521,0.008,-0.043,5.65,0.6529,,295150000000.0,43547000000.0,89445000000.0,1767139200,1782777600
2026-09-19,SPOG.OL,banking_nordic,banking,nordic,SPAREBANKEN ØST,NOK,71.8,1488499072,20731183,0.268,6.67,5.47333,211.397,0.33964533,10.764618,13.118157,0.08590999,0.00881,0.45728,0.63548,-0.313,-0.475,9.61,1.0344,,5042300000.0,494300000.0,950100000.0,1767139200,1782777600
2026-09-19,MING.OL,banking_nordic,banking,nordic,SPAREBANK 1 SMN,NOK,216.75,31258447872,144214290,0.391,18.64,19.845,195.7,1.1075627,11.62822,10.922147,0.14095001,0.016619999,0.4772,0.61786,-0.004,0.04,6.22,0.7243,,31166000000.0,4279000000.0,8051000000.0,1767139200,1782777600
2026-09-19,NONG.OL,banking_nordic,banking,nordic,SPAREBANK 1 NORD-NORGE,NOK,172.22,17290547200,100398016,0.357,14.38,15.54,186.678,0.92255116,11.9763565,11.082368,0.16409999,0.02221,0.52025,0.67258,-0.072,-0.114,4.89,0.5911,,20521000000.0,3421000000.0,5911000000.0,1767139200,1782777600
2026-09-19,SEB-A.ST,banking_nordic,banking,nordic,Skandinaviska Enskilda Banken s,SEK,227.8,443052556288,1920766510,0.433,15.67,15.79,115.806,1.9670829,14.537333,14.426852,0.14083,0.00736,0.41787,0.54662997,0.023,0.076,3.69,0.5421,,230263000000.0,31063000000.0,77063000000.0,1767139200,1782777600
2026-09-19,SWED-A.ST,banking_nordic,banking,nordic,Swedbank AB ser A,SEK,402.4,452182769664,1123714665,0.561,27.58,25.44,184.25,2.183989,14.590282,15.81761,0.15016,0.0097,0.45124,0.51436,0.058,-0.089,5.03,0.7409,,225802000000.0,32762000000.0,67899000000.0,1767139200,1782777600
2026-09-19,SHB-A.ST,banking_nordic,banking,nordic,Svenska Handelsbanken ser. A,SEK,153.15,307029901312,1944777165,0.504,11.98,11.41,93.126,1.644546,12.783806,13.422436,0.12749,0.0063099996,0.42583,0.50089,-0.038,-0.061,5.16,0.66830003,,199352000000.0,23727000000.0,56805000000.0,1767139200,1782777600
2026-09-19,NDA-SE.ST,banking_nordic,banking,nordic,Nordea Bank Abp,SEK,198.8,674678243328,3393753656,0.64,15.5,1.37,9.182,21.651056,12.825807,145.1095,0.15337,0.00699,0.4058,0.54153997,0.015,0.029,7.07,0.7007,,32419000000.0,4840000000.0,11719000000.0,1767139200,1782777600
2026-09-19,DANSKE.CO,banking_nordic,banking,nordic,Danske Bank A/S,DKK,375.4,302679293952,806284831,0.592,29.01,32.65638,206.818,1.8151225,12.940365,11.495457,0.13951999,0.0062300004,0.41053,0.56159,0.08,0.152,4.51,0.5841,,181162000000.0,23037000000.0,56845000000.0,1767139200,1782777600
2026-09-19,JYSK.CO,banking_nordic,banking,nordic,Jyske Bank A/S,DKK,1099.0,61796040704,56229335,0.361,84.62,95.27654,821.922,1.3371098,12.987473,11.534843,0.10293999,0.00694,0.37138999,0.51117,0.013,0.123,2.25,0.2925,,52312000000.0,5414000000.0,14437000000.0,1767139200,1782777600
