run_date,ticker,basket,sector_label,region,name,currency,price,market_cap,shares_out,beta,trailing_eps,forward_eps,book_value_ps,price_to_book,trailing_pe,forward_pe,roe,roa,profit_margin,operating_margin,revenue_growth,earnings_growth,dividend_yield,payout_ratio,debt_to_equity,total_equity,net_income,revenue,last_fiscal_year_end,most_recent_quarter
2026-08-29,DNB.OL,banking_nordic,banking,nordic,DNB BANK ASA,NOK,315.9,450669510656,1426620786,0.338,27.58,27.86131,176.229,1.7925539,11.453952,11.3383045,0.1507,0.01086,0.47826,0.59521,0.008,-0.043,5.72,0.6529,,295150000000.0,43547000000.0,89445000000.0,1767139200,1782777600
2026-08-29,SPOG.OL,banking_nordic,banking,nordic,SPAREBANKEN ØST,NOK,71.5,1482279680,20731183,0.27,6.67,5.47333,211.397,0.33822617,10.71964,13.063345,0.08590999,0.00881,0.45728,0.63548,-0.313,-0.475,9.77,1.0344,,5042300000.0,494300000.0,950100000.0,1767139200,1782777600
2026-08-29,MING.OL,banking_nordic,banking,nordic,SPAREBANK 1 SMN,NOK,212.65,30667167744,144214290,0.384,18.64,19.845,195.7,1.0866121,11.408262,10.715546,0.14095001,0.016619999,0.4772,0.61786,-0.004,0.04,6.38,0.7243,,31166000000.0,4279000000.0,8051000000.0,1767139200,1782777600
2026-08-29,NONG.OL,banking_nordic,banking,nordic,SPAREBANK 1 NORD-NORGE,NOK,171.18,17186131968,100398016,0.351,14.38,15.54,186.678,0.91698,11.904033,11.015444,0.16409999,0.02221,0.52025,0.67258,-0.072,-0.114,4.98,0.5911,,20521000000.0,3421000000.0,5911000000.0,1767139200,1782777600
2026-08-29,SEB-A.ST,banking_nordic,banking,nordic,Skandinaviska Enskilda Banken s,SEK,223.6,435162021888,1922010299,0.434,15.69,15.79,115.806,1.9308153,14.251116,14.160862,0.14083,0.00736,0.41787,0.54662997,0.023,0.076,3.84,0.5421,,230263000000.0,31063000000.0,77063000000.0,1767139200,1782777600
2026-08-29,SWED-A.ST,banking_nordic,banking,nordic,Swedbank AB ser A,SEK,376.1,422629113856,1123714665,0.565,27.62,25.44,184.25,2.0412483,13.616944,14.783805,0.15016,0.0097,0.45124,0.51436,0.058,-0.089,5.48,0.7409,,225802000000.0,32762000000.0,67899000000.0,1767139200,1782777600
2026-08-29,SHB-A.ST,banking_nordic,banking,nordic,Svenska Handelsbanken ser. A,SEK,148.2,297106341888,1944777165,0.504,11.97,11.41,93.126,1.5913923,12.380952,12.988606,0.12749,0.0063099996,0.42583,0.50089,-0.038,-0.061,5.43,0.66830003,,199352000000.0,23727000000.0,56805000000.0,1767139200,1782777600
2026-08-29,NDA-SE.ST,banking_nordic,banking,nordic,Nordea Bank Abp,SEK,196.2,665854476288,3393753656,0.641,15.21,1.37,9.182,21.367893,12.899408,143.21167,0.15337,0.00699,0.4058,0.54153997,0.015,0.029,7.35,0.7007,,32419000000.0,4840000000.0,11719000000.0,1767139200,1782777600
2026-08-29,DANSKE.CO,banking_nordic,banking,nordic,Danske Bank A/S,DKK,371.9,300064210944,806841163,0.595,29.0,32.49433,206.818,1.7981994,12.824138,11.445073,0.13951999,0.0062300004,0.41053,0.56159,0.08,0.152,4.59,0.5841,,181162000000.0,23037000000.0,56845000000.0,1767139200,1782777600
2026-08-29,JYSK.CO,banking_nordic,banking,nordic,Jyske Bank A/S,DKK,1088.0,61350727680,56388536,0.358,85.51,94.85154,821.922,1.3237265,12.723658,11.470557,0.10293999,0.00694,0.37138999,0.51117,0.013,0.123,2.32,0.2925,,52312000000.0,5414000000.0,14437000000.0,1767139200,1782777600
