run_date,ticker,basket,sector_label,region,name,currency,price,market_cap,shares_out,beta,trailing_eps,forward_eps,book_value_ps,price_to_book,trailing_pe,forward_pe,roe,roa,profit_margin,operating_margin,revenue_growth,earnings_growth,dividend_yield,payout_ratio,debt_to_equity,total_equity,net_income,revenue,last_fiscal_year_end,most_recent_quarter
2026-07-21,DNB.OL,banking_nordic,banking,nordic,DNB BANK ASA,NOK,295.8,423459848192,1431574963,0.337,27.57,27.91661,176.229,1.6784978,10.729053,10.595841,0.1507,0.01086,0.47826,0.59521,0.008,-0.043,6.11,0.6529,,295150000000.0,43547000000.0,89445000000.0,1767139200,1782777600
2026-07-21,SPOG.OL,banking_nordic,banking,nordic,SPAREBANKEN ØST,NOK,72.0,1492645248,20731183,0.269,6.67,5.52667,226.282,0.31818706,10.794602,13.027737,0.08590999,0.00881,0.45728,0.63548,-0.313,-0.475,9.7,1.0344,,5042300000.0,494300000.0,950100000.0,1767139200,1782777600
2026-07-21,MING.OL,banking_nordic,banking,nordic,SPAREBANK 1 SMN,NOK,195.9,28251578368,144214283,0.382,18.47,19.3875,187.878,1.0426979,10.606389,10.104448,0.14457,0.01685,0.47155997,0.53499,-0.077,-0.154,6.99,0.731,,31166000000.0,4279000000.0,8051000000.0,1767139200,1774915200
2026-07-21,NONG.OL,banking_nordic,banking,nordic,SPAREBANK 1 NORD-NORGE,NOK,156.86,15748432896,100398016,0.351,14.87,14.885,178.593,0.8783099,10.548756,10.538125,0.16871001,0.023559999,0.52666,0.64078003,-0.039,-0.118,5.48,1.1601,,20521000000.0,3421000000.0,5911000000.0,1767139200,1774915200
2026-07-21,SEB-A.ST,banking_nordic,banking,nordic,Skandinaviska Enskilda Banken s,SEK,215.8,420555489280,1924668143,0.417,15.69,15.79,110.288,1.9566952,13.753984,13.666878,0.14083,0.00736,0.41787,0.54662997,0.023,0.076,4.0,0.5421,,230263000000.0,31063000000.0,77063000000.0,1767139200,1782777600
2026-07-21,SWED-A.ST,banking_nordic,banking,nordic,Swedbank AB ser A,SEK,367.3,412740386816,1123714665,0.56,27.59,25.44,200.851,1.8287188,13.312794,14.437892,0.15016,0.0097,0.45124,0.51436,0.058,-0.089,5.64,0.7409,,225802000000.0,32762000000.0,67899000000.0,1767139200,1782777600
2026-07-21,SHB-A.ST,banking_nordic,banking,nordic,Svenska Handelsbanken ser. A,SEK,141.4,283473903616,1944777165,0.503,11.98,11.41,93.126,1.5183729,11.803005,12.392637,0.12749,0.0063099996,0.41731,0.50089,-0.038,-0.061,5.75,0.66830003,,199352000000.0,23727000000.0,56805000000.0,1767139200,1782777600
2026-07-21,NDA-SE.ST,banking_nordic,banking,nordic,Nordea Bank Abp,SEK,190.7,647188774912,3393753656,0.637,15.21,1.37,9.182,20.768894,12.537804,139.19708,0.15337,0.00699,0.4058,0.54153997,0.015,0.029,7.54,0.7007,,32419000000.0,4840000000.0,11719000000.0,1767139200,1782777600
2026-07-21,DANSKE.CO,banking_nordic,banking,nordic,Danske Bank A/S,DKK,364.6,294298419200,807181655,0.586,29.0,32.26371,206.818,1.7629027,12.572414,11.300622,0.13951999,0.0062300004,0.41053,0.56159,0.08,0.152,4.67,0.5841,,181162000000.0,23037000000.0,56845000000.0,1767139200,1782777600
2026-07-21,JYSK.CO,banking_nordic,banking,nordic,Jyske Bank A/S,DKK,1014.0,57462030336,56668668,0.342,83.06,92.56549,800.763,1.2662922,12.208043,10.954407,0.10288999,0.00678,0.36754,0.45686,-0.081,-0.126,2.5,0.301,,52312000000.0,5414000000.0,14437000000.0,1767139200,1774915200
2026-07-21,HSBA.L,banking_europe,banking,europe,HSBC HOLDINGS PLC ORD $0.50 (UK,GBp,1509.4,258835070976,17148209505,0.565,0.92,1.4157375,7.5912247,1.9883485,16.40652,10.661581,0.11611,0.00722,0.34977,0.50684,0.033,0.026,3.76,0.6082,,198225000000.0,22285000000.0,71020000000.0,1767139200,1774915200
2026-07-21,BARC.L,banking_europe,banking,europe,BARCLAYS PLC ORD 25P,GBp,522.4,70454583296,13486711665,0.884,0.43,0.63954,4.659,1.1212708,12.148838,8.168371,0.09552,0.0044299997,0.26768,0.39755002,0.039,0.081,1.68,0.1982,,77784000000.0,7172000000.0,29140000000.0,1767139200,1774915200
2026-07-21,LLOY.L,banking_europe,banking,europe,LLOYDS BANKING GROUP PLC ORD 10,GBp,113.25,65792876544,58095255127,0.907,0.08,0.1202,0.824,1.3743931,14.156251,9.421797,0.10784,0.00551,0.26495,0.41411,0.115,0.447,3.29,0.4382,,47668000000.0,4659000000.0,20028000000.0,1767139200,1774915200
2026-07-21,NWG.L,banking_europe,banking,europe,NATWEST GROUP PLC ORD 107.69P,GBp,679.0,54030315520,7957336574,0.814,0.7,0.84144,4.903,1.3848665,9.7,8.0695,0.14072,0.00822,0.36877,0.50258,0.075,0.156,4.88,0.4656,,42599000000.0,5831000000.0,16609000000.0,1767139200,1774915200
2026-07-21,BNP.PA,banking_europe,banking,europe,BNP PARIBAS ACT.A,EUR,105.16,115844325376,1100099307,1.039,10.6,12.94479,118.27,0.889152,9.920754,8.123732,0.09575,0.00456,0.2545,0.35636002,0.093,0.12,9.63,0.6961,,125513000000.0,12225000000.0,68804000000.0,,
2026-07-21,ACA.PA,banking_europe,banking,europe,CREDIT AGRICOLE,EUR,18.105,54776406016,3025485086,0.806,2.13,2.4433,26.152,0.6922988,8.499999,7.41006,0.09276,0.00343,0.26825002,0.38424,-0.011,-0.084,6.3,0.5159,,77662000000.0,7074000000.0,26261000000.0,1767139200,1774915200
2026-07-21,GLE.PA,banking_europe,banking,europe,SOCIETE GENERALE,EUR,77.2,56358699008,730035000,0.981,7.04,8.92893,97.252,0.793814,10.965909,8.646052,0.08884,0.00448,0.23615,0.36972,0.002,0.141,2.14,0.24139999,,70144000000.0,6002000000.0,52597000000.0,1767139200,1774915200
2026-07-21,ISP.MI,banking_europe,banking,europe,INTESA SANPAOLO,EUR,6.367,112030015488,17595417367,0.837,0.54,0.63897,3.946,1.6135327,11.79074,9.964474,0.14007,0.00997,0.36828,0.67370003,0.06,0.067,5.99,0.661,,65226000000.0,9321000000.0,28529000000.0,1767139200,1774915200
